DAX (GDAXI);Brenntag AG;14145;71,680;71,520;72,160;2023-08-17
DAX (GDAXI);Commerzbank;358;10,190;10,085;10,300;2023-08-17
DAX (GDAXI);Continental;353;66,04;65,66;66,48;2023-08-17
DAX (GDAXI);Covestro;958839;48,640;47,950;48,910;2023-08-17
DAX (GDAXI);Daimler Truck Holding;1181372;33,48;33,34;33,83;2023-08-17
DAX (GDAXI);Deutsche Bank;352;9,910;9,811;9,998;2023-08-17
DAX (GDAXI);Deutsche Borse;359;163,850;163,750;166,600;2023-08-17
DAX (GDAXI);Deutsche Post;354;43,320;43,025;43,615;2023-08-17
DAX (GDAXI);Deutsche Tel.;656;19,014;18,878;19,046;2023-08-17
DAX (GDAXI);Dr Ing hc F Porsche Prf;1194617;104,15;103,20;105,25;2023-08-17
DAX (GDAXI);E.ON;9251;11,140;11,000;11,140;2023-08-17
DAX (GDAXI);Fresenius SE;6284;29,410;29,130;29,780;2023-08-17
DAX (GDAXI);Hannover Rueckversicherung AG;6298;197,75;197,30;200,20;2023-08-17
DAX (GDAXI);Heidelbergcement;6334;76,820;76,640;77,780;2023-08-17
DAX (GDAXI);Henkel;357;72,06;71,58;72,08;2023-08-17
DAX (GDAXI);Infineon;659;32,165;32,090;32,865;2023-08-17
DAX (GDAXI);Mercedes Benz Group;355;67,520;67,320;68,160;2023-08-17
DAX (GDAXI);Merck;658;160,20;158,85;161,00;2023-08-17
DAX (GDAXI);Mtu Aero Engines Holding AG;6321;203,00;201,40;204,30;2023-08-17
DAX (GDAXI);Munchener Ruck;662;357,90;353,00;359,70;2023-08-17
DAX (GDAXI);Porsche Automobil Holding SE;356;49,690;49,560;50,200;2023-08-17
DAX (GDAXI);Qiagen NV;6336;39,450;39,360;39,760;2023-08-17
DAX (GDAXI);Rheinmetall;665;247,400;243,600;250,000;2023-08-17
DAX (GDAXI);RWE;6306;38,480;38,430;38,860;2023-08-17
DAX (GDAXI);SAP;663;123,900;123,880;126,580;2023-08-17
DAX (GDAXI);Sartorius AG Vz;19900;368,000;364,800;372,400;2023-08-17
DAX (GDAXI);Siemens;350;135,82;135,62;137,82;2023-08-17
DAX (GDAXI);Siemens Energy AG;1166602;13,45;13,34;13,57;2023-08-17
DAX (GDAXI);Siemens Healthineers;1072226;46,09;46,03;46,65;2023-08-17
DAX (GDAXI);Symrise AG;6328;89,460;89,460;90,520;2023-08-17
DAX (GDAXI);Volkswagen VZO;22402;114,70;113,90;115,46;2023-08-17
DAX (GDAXI);Vonovia;49817;20,14;20,08;20,45;2023-08-17
DAX (GDAXI);Zalando SE;942333;27,47;27,17;27,91;2023-08-17
IBEX 35 (IBEX);Acciona;449;124,400;124,400;127,000;2023-08-17
IBEX 35 (IBEX);Acerinox;445;9,090;9,062;9,210;2023-08-17
IBEX 35 (IBEX);ACS;442;31,280;31,250;31,560;2023-08-17
IBEX 35 (IBEX);Aena;945627;139,85;139,50;144,90;2023-08-17
IBEX 35 (IBEX);Amadeus;14615;62,060;61,940;63,300;2023-08-17
IBEX 35 (IBEX);ArcelorMittal;32439;24,100;23,880;24,300;2023-08-17
IBEX 35 (IBEX);Banco de Sabadell;473;1,0970;1,0855;1,1075;2023-08-17
IBEX 35 (IBEX);Bankinter;447;6,028;5,956;6,094;2023-08-17
IBEX 35 (IBEX);BBVA;446;7,078;7,034;7,170;2023-08-17
IBEX 35 (IBEX);Caixabank;452;3,800;3,753;3,827;2023-08-17
IBEX 35 (IBEX);Cellnex Telecom;951681;34,24;34,21;35,13;2023-08-17
IBEX 35 (IBEX);Corporacion Acciona Energias Renovables;1174892;25,22;25,22;26,08;2023-08-17
IBEX 35 (IBEX);Enagas;453;15,295;15,280;15,535;2023-08-17
IBEX 35 (IBEX);Endesa;13816;18,530;18,510;18,805;2023-08-17
IBEX 35 (IBEX);Ferrovial;459;29,190;29,160;29,480;2023-08-17
IBEX 35 (IBEX);Fluidra SA;32285;21,220;21,140;21,460;2023-08-17
IBEX 35 (IBEX);Grifols;458;13,530;13,380;13,770;2023-08-17
IBEX 35 (IBEX);IAG;13809;1,905;1,904;1,931;2023-08-17
